Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
BA2071TKDMBY,BA2071,F0C0Y76,76,70.2,92.37,84.21,99.74,20.0
AA0565MBYQEY,AA0565,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2631TFBQEY,BA2631,F12C12Y48,48,29.4,61.25,50.83,75.42,0.0
AA0234QEYTGP,super_AA0234,F16C0Y165,165,163.0,98.79,95.15,100.0,80.0
BA2438TFBHFH,BA2438,F0C0Y72,72,69.2,96.11,88.33,99.72,20.0
AA0698TFBHFH,AA0698,F16C0Y165,165,88.0,53.33,50.06,56.36,0.0
BA2218MXTTFB,super_BA2218,F0C0Y76,76,31.8,41.84,34.74,48.42,0.0
AA0153PUAPNF,super_AA0153,F12C12Y48,48,3.0,6.25,2.5,11.25,0.0
AA0845CMJIOM,AA0845,F16C0Y165,165,157.0,95.15,86.79,100.0,60.0
BA2388TFBZZK,BA2388,F0C0Y72,72,60.8,84.44,71.67,97.78,20.0
BA2609QEYPBL,super_BA2609,F0C0Y76,76,69.0,90.79,78.16,100.0,40.0
AA0891TBOIOM,AA0891,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0090BODTFB,AA0090,F0C0Y76,76,63.0,82.89,72.37,94.21,0.0
AA0123TFBGBJ,AA0123,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2002TFBZLN,BA2002,F12C0Y112,112,96.8,86.43,78.39,94.46,0.0
AA0634QEYQIY,AA0634,F16C0Y165,165,112.6,68.24,61.58,76.61,0.0
AA0670TFBEGX,AA0670,F16C0Y165,165,161.0,97.58,93.45,100.0,40.0
BA2042QEYTFB,BA2042,F0C0Y76,76,50.6,66.58,61.05,74.21,0.0
AA3490TFBGBU,AA3490,F0C0Y76,76,52.8,69.47,58.42,81.84,0.0
BA2472MBYTUT,BA2472,F0C0Y76,76,75.6,99.47,97.89,100.0,80.0
AA3465POUQEY,AA3465,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0538TFBPOU,AA0538,F16C0Y165,165,162.6,98.55,96.36,100.0,60.0
AA0536TFBPOU,AA0536,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0347PBLTFB,AA0347,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2249HFHTFB,BA2249,F0C0Y72,72,52.2,72.5,68.33,80.28,0.0
BA2629TFBQEY,BA2629,F0C0Y76,76,54.2,71.32,60.0,83.68,0.0
AA0400QEYTKD,AA0400,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2057TFBQEY,BA2057,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2076MBYTKD,BA2076,F0C0Y76,76,74.6,98.16,96.05,100.0,40.0
BA2106TFBQTD,BA2106,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0632TFBQIY,AA0632,F16C0Y165,165,163.6,99.15,96.61,100.0,80.0
AA2701BODMBT,AA2701,F16C0Y165,165,146.0,88.48,79.76,94.06,0.0
BA2266TFBZWS,BA2266,F16C0Y165,165,94.2,57.09,48.85,68.85,0.0
AA0605MBTTFB,AA0605,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2327HFHTFB,BA2327,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0830IOMQEY,AA0830,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2259TFBSOP,BA2259,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
