Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P040124,2.55,2.0,2.55,0.0,221.0,563.55,BA2340TFBNTP,BA2340,F0C0Y72,BA2340TFBNTP,0.055
P021691,2.3,2.17,2.3,0.0,245.0,563.5,AA0515TOBTFB,AA0515,F0C0Y76,AA0515TOBTFB,6.0
P040701,5.75,5.71,5.75,0.0,98.0,563.5,BA2255TFBSOP,BA2255,F0C0Y76,BA2255TFBSOP,0.1875
P010570,1.8,1.68,1.8,0.0,313.0,563.4,AA0254MBYQWS,AA0254,F16C0Y165,AA0254MBYQWS,4.4775
P029740,3.35,2.56,3.35,0.0,168.0,562.8,BA2445HFHTFB,BA2445,F0C0Y76,BA2445HFHTFB,4.155
P008557,2.9,3.09,2.9,0.0,194.0,562.6,AA0621MBTQEY,AA0621,F16C0Y165,AA0621MBTQEY,1.8975
P011089,2.9,2.54,2.9,0.0,194.0,562.6,BA2384TFBZZK -> AA0451MBYTFB,BA2384 -> AA0451,F0C0Y76 -> F16C0Y165,AA0451MBYTFB,4.1725
P015778,2.9,2.75,2.9,0.0,194.0,562.6,AA0483TBOTFB,AA0483,F16C0Y165,AA0483TBOTFB,1.7575
P025533,3.45,2.76,3.45,0.0,163.0,562.35,BA2455CAOTFB,BA2455,F0C0Y76,BA2455CAOTFB,4.1183
P017268,3.65,4.22,3.65,0.0,154.0,562.1,AA0452TFBMBY,AA0452,F16C0Y165,AA0452TFBMBY,1.78
P040131,5.3,4.76,5.3,0.0,106.0,561.8,BA2348TFBNTP,BA2348,F16C0Y165,BA2348TFBNTP,0.0
P023523,5.25,4.63,5.25,0.0,107.0,561.75,BA2483CMJTFB,BA2483,F0C0Y76,BA2483CMJTFB,2.215
P045854,4.1,3.4,4.1,0.0,137.0,561.7,BA2565QEYTNG,BA2565,F16C0Y165,BA2565QEYTNG,0.0
P001216,5.2,4.94,5.2,0.0,108.0,561.6,AA0062BODLUO,,,AA0062BODLUO,0.0
P007092,5.9,6.72,5.2,0.7,108.0,561.6,AA0065KOVBOD,super_AA0065,F0C0Y76,AA0065KOVBOD,1.0825
P029659,7.8,6.39,7.8,0.0,72.0,561.6,BA2249HFHTFB,BA2249,F12C12Y48,BA2249HFHTFB,1.49
P030839,3.9,3.46,3.9,0.0,144.0,561.6,BA2321HUGTFB,super_BA2321,F12C12Y48,BA2321HUGTFB,0.0
P039683,5.85,6.99,5.85,0.0,96.0,561.6,BA2372TFBHFH,BA2372,F0C0Y76,BA2372TFBHFH,1.315
P013408,2.55,2.34,2.55,0.0,220.0,561.0,AA0590QEYTOB,AA0590,F0C0Y76,AA0590QEYTOB,0.43
P015368,3.3,3.21,3.3,0.0,170.0,561.0,BA2248TFBHFH -> AA0491TBOTFB,BA2248 -> AA0491,F0C0Y76 -> F16C0Y165,AA0491TBOTFB,2.01
P016745,3.0,2.53,3.0,0.0,187.0,561.0,AA0014TFBFXS,AA0014,F0C0Y76,AA0014TFBFXS,7.25
