Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0212MBYNAU,5.1525,1.281,4.9875,6.9
BA2034SENQEY,2.9025,0.422,2.3175,3.45
AA0401TKDQEY,2.53,2.0768,0.0,4.3
AA0569MBYQEY,5.225,0.2643,4.78,5.35
AA0234QEYTGP,1.565,1.8478,0.0,4.1
BA2132QEYTFB,0.0,0.0,0.0,0.0
BA2472MBYTUT,3.42,1.14,0.0,3.8
BA2430TFBZMX,5.8025,0.2083,5.55,6.05
AA0226TKDHEM,0.3275,1.4275,0.0,0.3275
AA0011FXSTFB,5.485,2.8695,0.0,7.1
AA0512TFBTOB,4.4325,0.0763,4.4325,4.45
BA2565QEYTNG,0.0,0.0,0.0,0.0
BA2384TFBZZK,0.0,0.0,0.0,0.0
AA0060LUOTFB,2.5,3.4294,0.0,8.1
AA0836IOMPBL,8.145,2.715,0.0,9.05
BA2545TFBQEY,0.0,0.0,0.0,0.0
AA0061KOVZBL,0.0,0.0,0.0,0.0
AA0566QEYMBY,4.15,0.0,4.15,4.15
BA2644PBLQEY,2.4625,1.8571,0.0,3.95
BA2609FVHQEY,0.2925,0.334,0.0,0.6875
BA2091QEYNGS,2.6,0.6459,1.4975,3.115
AA0841PBLPHH,5.62,4.1521,0.0,8.9
AA0256MBYNFY,5.36,2.68,0.0,6.7
BA2119ZZDTFB,0.0,0.0,0.0,0.0
BA2614TGPQEY,5.13,0.3156,5.0475,5.65
AA0347PBLTFB,4.1475,0.2657,4.05,4.6275
AA0137QEYBOD,6.635,1.9707,3.895,8.2625
AA0661EGXTFB,6.1125,1.0285,4.5275,7.1
AA0604TFBMBT,3.6125,1.7329,0.0,5.15
AA0877QEYIOM,1.8275,3.6606,0.0,9.0925
AA3474TFBMHC,3.65,0.0,3.65,3.65
AA0064LUOTFB,0.0,0.0,0.0,0.0
AA0104BODTFB,0.0,0.0,0.0,0.0
AA0083TFBBOD,10.8925,0.2187,10.7575,10.95
AA0151PUAPNF,0.0,0.0,0.0,0.0
AA0613MBTTFB,2.7025,2.4555,0.0,5.15
AA0563MBYQEY,4.18,0.0872,4.18,4.2
AA0895TKDPHH,6.9925,3.0495,0.0,8.8
BA2249HFHTFB,1.49,1.2828,0.0,3.6
BA2539TFBGBU,5.6825,0.2942,5.6825,5.75
AA0810LPBTFB,9.34,0.5366,8.75,10.6
AA0227HEMTKD,6.4125,1.4711,6.4125,6.75
BA2517QEYTGP,3.8925,0.8931,3.8475,4.1
AA0244TFBMBY,4.08,0.6779,2.78,4.45
BA2484TFBCMJ,0.0,0.0,0.0,0.0
AA3463POUQEY,5.5975,0.4409,4.8675,5.85
BA2181TFBQEY,0.0475,0.1418,0.0,0.1275
AA0823PBLLPB,5.4275,3.9827,0.0,8.35
AA0707MBYZWS,4.2425,1.8669,0.0,5.8
BA2637TFBPBL,3.0375,1.7537,0.0,4.05
AA0055BODGBJ,2.8325,2.889,0.0,6.275
AA0703MBYZWS,2.32,2.8414,0.0,5.8
BA2109QTDTFB,0.0,0.0,0.0,0.0
AA0625MBTQEY,4.415,0.3815,4.325,4.575
BA2237CPJTFB,4.12,0.0872,4.1,4.12
AA0515TOBTFB,6.0,0.0,6.0,6.0
AA0062LUOTFB,0.0,0.0,0.0,0.0
AA0093TFBBOD,6.7525,2.0222,3.3275,8.4575
BA2273TFBSEN,0.43,0.924,0.0,2.08
AA0232TFBTBO,0.0,0.0,0.0,0.0
