Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P042127,6.109999999999999,6.11,BA2429ZMXTFB,BA2429,F16C0Y165
P042128,5.590000000000001,5.59,BA2429ZMXTFB,BA2429,F16C0Y165
P042129,3.83,3.83,BA2429ZMXTFB,BA2429,F16C0Y165
P042130,1.08,1.08,BA2479ZMXTFB,BA2479,F16C0Y165
P042131,9.74,9.74,BA2479ZMXTFB,BA2479,F16C0Y165
P042132,5.862767245813432,5.86,BA2479ZMXTFB,BA2479,F16C0Y165
P042133,3.03,3.03,BA2479ZMXTFB,BA2479,F16C0Y165
P042134,8.13,8.13,BA2479ZMXTFB,BA2479,F16C0Y165
P042135,1.33,1.33,BA2479ZMXTFB,BA2479,F16C0Y165
P042136,8.180469225341934,8.18,BA2479ZMXTFB,BA2479,F16C0Y165
P042137,1.0,1.0,BA2479ZMXTFB,BA2479,F16C0Y165
P042138,23.40674991526919,23.41,BA2479ZMXTFB,BA2479,F16C0Y165
P042139,11.640676426940145,11.64,BA2479ZMXTFB,BA2479,F16C0Y165
P042140,2.33,2.33,BA2479ZMXTFB,BA2479,F16C0Y165
P042170,0.55,0.55,AA0087TFBBOD -> BA2227ZWSTFB,AA0087 -> BA2227,F16C0Y165 -> F16C0Y165
P042179,4.890335525826216,4.89,AA0097TFBBOD -> BA2227ZWSTFB,AA0097 -> BA2227,F16C0Y165 -> F16C0Y165
P042210,19.637971119315274,9.85,AA0731TFBBOD -> BA2243ZWSTFB,super_AA0731 -> BA2243,F16C0Y165 -> F0C0Y76
P042223,5.604764431669864,5.6,AA0089TFBBOD -> BA2265ZWSTFB,AA0089 -> BA2265,F16C0Y165 -> F16C0Y165
P042225,3.308534337475569,3.31,AA0089TFBBOD -> BA2265ZWSTFB,AA0089 -> BA2265,F16C0Y165 -> F16C0Y165
P042267,1.02,1.02,AA0101TFBBOD -> BA2409ZWSTFB,AA0101 -> BA2409,F16C0Y165 -> F16C0Y165
P042297,0.05,0.05,AA0672TFBEFO -> BA2265ZWSTFB,AA0672 -> BA2265,F16C0Y165 -> F16C0Y165
P042299,0.56,0.56,AA0672TFBEFO -> BA2265ZWSTFB,AA0672 -> BA2265,F16C0Y165 -> F16C0Y165
