Origin,Destination,Flight1,Flight2,Flight3,Class,Fare,sales_total,true_demand_gompertz,correction_factor,n_stops,duration_min,Host_share
BOD,CFU,AA0045BODCFU,.,.,Y,252.0,11.190000000000001,11.190000000000001,1.0,0,72,0.849172178
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,B,485.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,G,267.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,H,381.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,K,311.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,L,312.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,M,470.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,Q,142.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,S,583.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,T,229.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,V,295.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,Y,318.0,0.23,0.23,1.0,1,-4300,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,B,485.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,G,267.0,2.75,2.75,1.0,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,H,381.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,K,311.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,L,312.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,M,470.0,0.6,0.600281793471977,1.0004696557866284,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,Q,142.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,S,583.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,T,229.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,V,295.0,0.0,0.0,,1,-4296,0.722004444
BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,Y,318.0,0.29,0.2901362001764231,1.0004696557807695,1,-4296,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,B,485.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,G,267.0,1.08,1.08,1.0,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,H,381.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,K,311.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,L,312.0,0.23,0.23010802082514403,1.0004696557614958,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,M,470.0,0.3,0.3001408967334335,1.0004696557781119,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,Q,142.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,S,583.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,T,229.0,0.0,0.0,,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,V,295.0,0.81,0.81,1.0,1,-4300,0.722004444
BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,Y,318.0,0.0,0.0,,1,-4300,0.722004444
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,B,487.0,0.32,0.3201502898392633,1.0004696557476978,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,G,268.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,H,409.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,K,262.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,L,316.0,0.32,0.32,1.0,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,M,451.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,Q,94.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,S,512.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,T,255.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,V,342.0,0.0,0.0,,1,-4295,0.971710172
BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,Y,406.0,0.32,0.3201502898392633,1.0004696557476978,1,-4295,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,B,487.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,G,268.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,H,409.0,0.37,0.37000000000000005,1.0000000000000002,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,K,262.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,L,316.0,1.0100000000000002,1.01,0.9999999999999998,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,M,451.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,Q,94.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,S,512.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,T,255.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,V,342.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,Y,406.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,B,487.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,G,268.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,H,409.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,K,262.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,L,316.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,M,451.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,Q,94.0,0.27,0.27,1.0,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,S,512.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,T,255.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,V,342.0,0.0,0.0,,1,-4300,0.971710172
BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,Y,406.0,0.0,0.0,,1,-4300,0.971710172
