Task,Origin,Destination,Leg_Count,Legs,Assigned_Fleet,Seat_Capacity_Per_Leg,Seat_Capacity,Task_Capacity,Total_Fly_Minutes,Fly_Minutes,Passenger_Boardings,Expected_Passengers,Total_Sold,Total_Unmet,Expected_Load(%),Load_Factor(%),Attributed_Revenue,Revenue,Operating_Cost,Cost,Attributed_Profit,Profit,Avg_Shadow_Price,Max_Shadow_Price,Shadow_Price_Summary,Product_Count,Is_Overnight_Task,Is_Super_Flight,Recommendation_Tag,Recommendation_Reason
AA0014,TFB,FXS,1,AA0014TFBFXS,F0C0Y76,76,76,76,307,307,76.0,76.0,68.3,24.7,100.0,100.0,15239.1,15239.1,12228.83,12228.83,3010.27,3010.27,29.0,29.0,avg=29.00; max=29.00; positive_legs=1,26,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0015,CPT,TFB,1,AA0015CPTTFB,F16C0Y165,165,165,165,372,372,165.0,165.0,161.9,52.3,100.0,100.0,33517.2,33517.2,28532.4,28532.4,4984.8,4984.8,30.0,30.0,avg=30.00; max=30.00; positive_legs=1,23,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0016,TFB,NJB,1,AA0016TFBNJB,F16C0Y165,165,165,165,340,340,153.6,153.6,150.4,4.8,93.09,93.09,28206.85,28206.85,26078.0,26078.0,2128.85,2128.85,6.6,6.6,avg=6.60; max=6.60; positive_legs=1,17,1,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0017,NJB,TFB,1,AA0017NJBTFB,F16C0Y165,165,165,165,394,394,165.0,165.0,157.7,37.3,100.0,100.0,38190.0,38190.0,30219.8,30219.8,7970.2,7970.2,31.6,31.6,avg=31.60; max=31.60; positive_legs=1,38,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0018,TFB,NDP,1,AA0018TFBNDP,F16C0Y165,165,165,165,329,329,163.6,163.6,158.1,25.6,99.15,99.15,37449.3,37449.3,25234.3,25234.3,12215.0,12215.0,27.36,27.36,avg=27.36; max=27.36; positive_legs=1,30,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0019,NDP,TFB,1,AA0019NDPTFB,F16C0Y165,165,165,165,380,380,157.2,157.2,144.3,0.7,95.27,95.27,31709.6,31709.6,29146.0,29146.0,2563.6,2563.6,6.0,6.0,avg=6.00; max=6.00; positive_legs=1,29,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0020,TFB,PSE,1,AA0020TFBPSE,F16C0Y165,165,165,165,238,238,165.0,165.0,154.4,145.0,100.0,100.0,32604.8,32604.8,18254.6,18254.6,14350.2,14350.2,33.32,33.32,avg=33.32; max=33.32; positive_legs=1,70,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0021,PSE,TFB,1,AA0021PSETFB,F16C0Y165,165,165,165,270,270,165.0,165.0,136.9,103.3,100.0,100.0,30036.7,30036.7,20709.0,20709.0,9327.7,9327.7,30.56,30.56,avg=30.56; max=30.56; positive_legs=1,73,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0022,TFB,PSE,1,AA0022TFBPSE,F16C0Y165,165,165,165,238,238,165.0,165.0,151.6,16.7,100.0,100.0,27044.0,27044.0,18254.6,18254.6,8789.4,8789.4,25.04,25.04,avg=25.04; max=25.04; positive_legs=1,60,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0023,PSE,TFB,1,AA0023PSETFB,F16C0Y165,165,165,165,267,267,165.0,165.0,149.4,115.5,100.0,100.0,33201.8,33201.8,20478.9,20478.9,12722.9,12722.9,33.6,33.6,avg=33.60; max=33.60; positive_legs=1,87,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0024,TFB,CPT,1,AA0024TFBCPT,F0C0Y76,76,76,76,325,325,76.0,76.0,75.7,31.3,100.0,100.0,15034.9,15034.9,12945.83,12945.83,2089.07,2089.07,27.0,27.0,avg=27.00; max=27.00; positive_legs=1,18,1,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0025,CPT,TFB,1,AA0025CPTTFB,F16C0Y165,165,165,165,371,371,165.0,165.0,153.27,29.5,100.0,100.0,31464.87,31464.87,28455.7,28455.7,3009.17,3009.17,29.4,29.4,avg=29.40; max=29.40; positive_legs=1,56,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0026,TFB,PSE,1,AA0026TFBPSE,F0C0Y76,76,76,76,229,229,76.0,76.0,62.1,25.5,100.0,100.0,12359.3,12359.3,9121.83,9121.83,3237.47,3237.47,27.0,27.0,avg=27.00; max=27.00; positive_legs=1,31,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0029,PSE,TFB,1,AA0029PSETFB,F16C0Y165,165,165,165,266,266,165.0,165.0,154.4,22.4,100.0,100.0,26434.4,26434.4,20402.2,20402.2,6032.2,6032.2,23.44,23.44,avg=23.44; max=23.44; positive_legs=1,47,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0030,QEY,CPT,1,AA0030QEYCPT,F16C0Y165,165,165,165,320,320,165.0,165.0,162.5,38.3,100.0,100.0,34348.9,34348.9,24544.0,24544.0,9804.9,9804.9,30.68,30.68,avg=30.68; max=30.68; positive_legs=1,21,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0035,CPT,QEY,1,AA0035CPTQEY,F0C0Y76,76,76,76,381,381,76.0,76.0,73.4,89.3,100.0,100.0,14878.0,14878.0,15176.5,15176.5,-298.5,-298.5,30.44,30.44,avg=30.44; max=30.44; positive_legs=1,21,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0036,TFB,NTQ,1,AA0036TFBNTQ,F16C0Y165,165,165,165,197,197,165.0,165.0,159.6,78.3,100.0,100.0,29450.5,29450.5,15109.9,15109.9,14340.6,14340.6,28.6,28.6,avg=28.60; max=28.60; positive_legs=1,20,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0037,NTQ,TFB,1,AA0037NTQTFB,F16C0Y165,165,165,165,217,217,165.0,165.0,149.6,21.27,100.0,100.0,25436.73,25436.73,16643.9,16643.9,8792.83,8792.83,20.6,20.6,avg=20.60; max=20.60; positive_legs=1,40,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0038,TFB,NTQ,1,AA0038TFBNTQ,F16C0Y165,165,165,165,199,199,165.0,165.0,154.7,70.3,100.0,100.0,27880.6,27880.6,15263.3,15263.3,12617.3,12617.3,21.64,21.64,avg=21.64; max=21.64; positive_legs=1,22,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0039,NTQ,TFB,1,AA0039NTQTFB,F16C0Y165,165,165,165,216,216,165.0,165.0,157.5,24.9,100.0,100.0,24727.8,24727.8,16567.2,16567.2,8160.6,8160.6,20.6,20.6,avg=20.60; max=20.60; positive_legs=1,22,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0040,BER,BOD,1,AA0040BERBOD,F12C12Y48,48,48,48,54,54,39.2,39.2,37.9,0.0,81.67,81.67,6053.8,6053.8,1717.2,1717.2,4336.6,4336.6,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,12,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0041,BOD,CFU,1,AA0041BODCFU,F0C0Y76,76,76,76,73,73,61.4,61.4,61.4,0.0,80.79,80.79,12851.4,12851.4,2907.83,2907.83,9943.57,9943.57,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,10,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0042,CFU,BOD,1,AA0042CFUBOD,F0C0Y76,76,76,76,69,69,18.0,18.0,17.6,0.0,23.68,23.68,3616.8,3616.8,2748.5,2748.5,868.3,868.3,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,10,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0043,BOD,CFU,1,AA0043BODCFU,F0C0Y76,76,76,76,73,73,76.0,76.0,74.1,34.1,100.0,100.0,16721.7,16721.7,2907.83,2907.83,13813.87,13813.87,35.0,35.0,avg=35.00; max=35.00; positive_legs=1,21,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0044,CFU,BOD,1,AA0044CFUBOD,F0C0Y76,76,76,76,70,70,59.4,59.4,57.7,0.0,78.16,78.16,13593.5,13593.5,2788.33,2788.33,10805.17,10805.17,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,9,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0045,BOD,CFU,1,AA0045BODCFU,F0C0Y76,76,76,76,72,72,67.4,67.4,62.3,0.9,88.68,88.68,13226.5,13226.5,2868.0,2868.0,10358.5,10358.5,7.48,7.48,avg=7.48; max=7.48; positive_legs=1,39,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0046,CFU,BOD,1,AA0046CFUBOD,F0C0Y76,76,76,76,66,66,45.4,45.4,45.4,0.0,59.74,59.74,9773.0,9773.0,2629.0,2629.0,7144.0,7144.0,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,8,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0047,BOD,BER,1,AA0047BODBER,F12C12Y48,48,48,48,58,58,42.8,42.8,42.8,0.0,89.17,89.17,7372.4,7372.4,1844.4,1844.4,5528.0,5528.0,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,9,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0048,BER,BOD,1,AA0048BERBOD,F12C12Y48,48,48,48,51,51,37.6,37.6,33.7,0.0,78.33,78.33,6554.3,6554.3,1621.8,1621.8,4932.5,4932.5,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,14,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0049,BOD,BER,1,AA0049BODBER,F12C12Y48,48,48,48,57,57,40.8,40.8,36.0,0.3,85.0,85.0,6955.6,6955.6,1812.6,1812.6,5143.0,5143.0,2.68,2.68,avg=2.68; max=2.68; positive_legs=1,40,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0053,BOD,TDD,1,AA0053BODTDD,F0C0Y76,76,76,76,103,103,55.0,55.0,54.2,0.0,72.37,72.37,19973.34,19973.34,4102.83,4102.83,15870.5,15870.5,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,13,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0054,TDD,BOD,1,AA0054TDDBOD,F0C0Y76,76,76,76,102,102,65.8,65.8,65.6,0.0,86.58,86.58,23939.8,23939.8,4063.0,4063.0,19876.8,19876.8,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,4,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0056,KOV,TFB,1,AA0056KOVTFB,F12C12Y48,48,48,48,142,142,31.6,31.6,30.7,0.0,65.83,65.83,6453.6,6453.6,4515.6,4515.6,1938.0,1938.0,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,8,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0059,TFB,KOV,1,AA0059TFBKOV,F0C0Y76,76,76,76,145,145,75.2,75.2,68.2,3.0,98.95,98.95,16223.0,16223.0,5775.83,5775.83,10447.17,10447.17,17.92,17.92,avg=17.92; max=17.92; positive_legs=1,15,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0072,KOV,TFB,1,AA0072KOVTFB,F16C0Y165,165,165,165,138,138,130.6,130.6,108.3,0.0,79.15,79.15,24796.3,24796.3,10584.6,10584.6,14211.7,14211.7,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,41,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0075,TFB,KOV,1,AA0075TFBKOV,F16C0Y165,165,165,165,145,145,150.4,150.4,125.1,0.0,91.15,91.15,28608.3,28608.3,11121.5,11121.5,17486.8,17486.8,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,86,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0076,KOV,TFB,1,AA0076KOVTFB,F0C0Y76,76,76,76,140,140,63.0,63.0,58.4,0.0,82.89,82.89,13452.8,13452.8,5576.67,5576.67,7876.13,7876.13,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,28,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0079,TFB,KOV,1,AA0079TFBKOV,F0C0Y76,76,76,76,149,149,76.0,76.0,59.1,39.83,100.0,100.0,16045.53,16045.53,5935.17,5935.17,10110.37,10110.37,37.16,37.16,avg=37.16; max=37.16; positive_legs=1,73,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0080,BOD,TFB,1,AA0080BODTFB,F0C0Y76,76,76,76,205,205,68.4,68.4,44.83,0.0,90.0,90.0,12124.17,12124.17,8165.83,8165.83,3958.33,3958.33,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,68,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0081,TFB,BOD,1,AA0081TFBBOD,F0C0Y76,76,76,76,211,211,76.0,76.0,68.3,33.5,100.0,100.0,22112.2,22112.2,8404.83,8404.83,13707.37,13707.37,44.6,44.6,avg=44.60; max=44.60; positive_legs=1,20,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0082,BOD,TFB,1,AA0082BODTFB,F16C0Y165,165,165,165,204,204,82.4,82.4,58.6,0.2,49.94,49.94,15428.0,15428.0,15646.8,15646.8,-218.8,-218.8,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,60,0,0,Review_Schedule,"Low load, weak scarcity signal, and limited commercial support suggest a schedule review."
AA0083,TFB,BOD,1,AA0083TFBBOD,F16C0Y165,165,165,165,210,210,165.0,165.0,129.17,71.1,100.0,100.0,41159.4,41159.4,16107.0,16107.0,25052.4,25052.4,43.0,43.0,avg=43.00; max=43.00; positive_legs=1,98,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0084,BOD,TFB,1,AA0084BODTFB,F16C0Y165,165,165,165,200,200,91.6,91.6,69.0,0.0,55.52,55.52,18242.1,18242.1,15340.0,15340.0,2902.1,2902.1,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,69,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0086,BOD,TFB,1,AA0086BODTFB,F0C0Y76,76,76,76,205,205,61.4,61.4,54.1,0.6,80.79,80.79,12733.7,12733.7,8165.83,8165.83,4567.87,4567.87,5.76,5.76,avg=5.76; max=5.76; positive_legs=1,18,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0087,TFB,BOD,1,AA0087TFBBOD,F16C0Y165,165,165,165,202,202,165.0,165.0,112.03,48.63,100.0,100.0,41185.97,41185.97,15493.4,15493.4,25692.57,25692.57,44.2,44.2,avg=44.20; max=44.20; positive_legs=1,256,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0089,TFB,BOD,1,AA0089TFBBOD,F16C0Y165,165,165,165,210,210,165.0,165.0,124.43,25.13,100.0,100.0,39034.87,39034.87,16107.0,16107.0,22927.87,22927.87,31.2,31.2,avg=31.20; max=31.20; positive_legs=1,210,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0090,BOD,TFB,1,AA0090BODTFB,F0C0Y76,76,76,76,204,204,63.0,63.0,46.3,0.0,82.89,82.89,12648.99,12648.99,8126.0,8126.0,4522.99,4522.99,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,58,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0092,BOD,TFB,1,AA0092BODTFB,F16C0Y165,165,165,165,200,200,113.4,113.4,91.2,0.0,68.73,68.73,26246.94,26246.94,15340.0,15340.0,10906.94,10906.94,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,72,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0093,TFB,BOD,1,AA0093TFBBOD,F16C0Y165,165,165,165,215,215,165.0,165.0,127.47,15.83,100.0,100.0,34121.2,34121.2,16490.5,16490.5,17630.7,17630.7,25.36,25.36,avg=25.36; max=25.36; positive_legs=1,197,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0094,BOD,TFB,1,AA0094BODTFB,F16C0Y165,165,165,165,205,205,83.8,83.8,71.3,0.2,50.79,50.79,23189.2,23189.2,15723.5,15723.5,7465.7,7465.7,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,18,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0095,TFB,BOD,1,AA0095TFBBOD,F0C0Y76,76,76,76,211,211,76.0,76.0,42.3,42.93,100.0,100.0,14832.1,14832.1,8404.83,8404.83,6427.27,6427.27,46.24,46.24,avg=46.24; max=46.24; positive_legs=1,47,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0096,BOD,TFB,1,AA0096BODTFB,F0C0Y76,76,76,76,205,205,73.6,73.6,55.67,2.9,96.84,96.84,13574.13,13574.13,8165.83,8165.83,5408.3,5408.3,12.6,12.6,avg=12.60; max=12.60; positive_legs=1,42,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0097,TFB,BOD,1,AA0097TFBBOD,F16C0Y165,165,165,165,209,209,165.0,165.0,128.13,34.37,100.0,100.0,38989.5,38989.5,16030.3,16030.3,22959.2,22959.2,32.6,32.6,avg=32.60; max=32.60; positive_legs=1,295,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0098,BOD,TFB,1,AA0098BODTFB,F0C0Y76,76,76,76,202,202,56.4,56.4,48.8,0.0,74.21,74.21,12172.09,12172.09,8046.33,8046.33,4125.75,4125.75,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,32,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0099,TFB,BOD,1,AA0099TFBBOD,F16C0Y165,165,165,165,207,207,165.0,165.0,130.37,29.83,100.0,100.0,40219.27,40219.27,15876.9,15876.9,24342.37,24342.37,37.88,37.88,avg=37.88; max=37.88; positive_legs=1,184,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0101,TFB,BOD,1,AA0101TFBBOD,F16C0Y165,165,165,165,212,212,165.0,165.0,111.47,7.97,100.0,100.0,30514.37,30514.37,16260.4,16260.4,14253.97,14253.97,23.56,23.56,avg=23.56; max=23.56; positive_legs=1,191,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0103,TFB,BOD,1,AA0103TFBBOD,F16C0Y165,165,165,165,211,211,158.0,158.0,117.4,2.7,95.76,95.76,29101.88,29101.88,16183.7,16183.7,12918.18,12918.18,4.84,4.84,avg=4.84; max=4.84; positive_legs=1,138,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0104,BOD,TFB,1,AA0104BODTFB,F0C0Y76,76,76,76,197,197,47.4,47.4,46.3,0.0,62.37,62.37,11220.5,11220.5,7847.17,7847.17,3373.33,3373.33,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,13,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0106,BOD,TFB,1,AA0106BODTFB,F16C0Y165,165,165,165,202,202,45.4,45.4,34.7,0.0,27.52,27.52,16097.4,16097.4,15493.4,15493.4,604.0,604.0,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,15,1,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0107,TFB,BOD,1,AA0107TFBBOD,F0C0Y76,76,76,76,210,210,76.0,76.0,48.47,63.3,100.0,100.0,15014.5,15014.5,8365.0,8365.0,6649.5,6649.5,41.44,41.44,avg=41.44; max=41.44; positive_legs=1,112,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0108,BOD,TFB,1,AA0108BODTFB,F0C0Y76,76,76,76,209,209,76.0,76.0,74.3,8.2,100.0,100.0,17271.2,17271.2,8325.17,8325.17,8946.03,8946.03,29.28,29.28,avg=29.28; max=29.28; positive_legs=1,24,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0109,TFB,BOD,1,AA0109TFBBOD,F0C0Y76,76,76,76,208,208,76.0,76.0,53.0,60.2,100.0,100.0,16354.7,16354.7,8285.33,8285.33,8069.37,8069.37,43.96,43.96,avg=43.96; max=43.96; positive_legs=1,156,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0111,TFB,BOD,1,AA0111TFBBOD,F0C0Y76,76,76,76,214,214,76.0,76.0,56.0,20.97,100.0,100.0,13934.8,13934.8,8524.33,8524.33,5410.47,5410.47,28.64,28.64,avg=28.64; max=28.64; positive_legs=1,80,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0112,BOD,TFB,1,AA0112BODTFB,F0C0Y76,76,76,76,205,205,70.6,70.6,45.2,1.1,92.89,92.89,11772.77,11772.77,8165.83,8165.83,3606.93,3606.93,8.92,8.92,avg=8.92; max=8.92; positive_legs=1,92,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0114,BOD,TFB,1,AA0114BODTFB,F0C0Y76,76,76,76,200,200,63.6,63.6,42.27,0.1,83.68,83.68,11099.5,11099.5,7966.67,7966.67,3132.83,3132.83,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,92,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0117,TFB,BOD,1,AA0117TFBBOD,F0C0Y76,76,76,76,215,215,75.0,75.0,63.3,17.1,98.68,98.68,16299.1,16299.1,8564.17,8564.17,7734.93,7734.93,35.52,35.52,avg=35.52; max=35.52; positive_legs=1,12,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0119,TFB,BOD,1,AA0119TFBBOD,F16C0Y165,165,165,165,211,211,165.0,165.0,124.83,21.53,100.0,100.0,31294.47,31294.47,16183.7,16183.7,15110.77,15110.77,31.32,31.32,avg=31.32; max=31.32; positive_legs=1,163,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0120,BOD,TFB,1,AA0120BODTFB,F16C0Y165,165,165,165,205,205,165.0,165.0,116.3,20.4,100.0,100.0,30283.3,30283.3,15723.5,15723.5,14559.8,14559.8,29.32,29.32,avg=29.32; max=29.32; positive_legs=1,127,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
