Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000211,0.37,0.6,0.6,0.49,0.0,1.0,0.0,409.0,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F16C0Y165
P000213,1.01,0.6,0.6,0.49,0.0,1.0,0.0,316.0,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F16C0Y165
P000226,0.27,0.0,0.0,0.0,0.0,0.0,0.0,94.0,AA0092BODTFB -> BA2492TFBCMJ,AA0092 -> BA2492,F16C0Y165 -> F0C0Y76
P000232,0.05,0.2,0.2,0.4,0.0,0.8,0.0,268.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000234,0.03,0.0,0.0,0.0,0.0,0.0,0.0,262.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000235,0.41,0.4,0.4,0.49,0.0,1.0,0.0,316.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000237,0.35,0.0,0.0,0.0,0.0,0.0,0.0,94.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000239,0.05,0.0,0.0,0.0,0.0,0.0,0.0,255.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000240,0.03,0.0,0.0,0.0,0.0,0.0,0.0,342.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F0C0Y76 -> F0C0Y76
P000243,0.04,0.0,0.0,0.0,0.0,0.0,0.0,268.0,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000245,0.02,0.0,0.0,0.0,0.0,0.0,0.0,262.0,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000246,0.43,0.0,0.0,0.0,0.0,0.0,0.0,316.0,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000250,0.07,0.2,0.2,0.4,0.0,0.8,0.0,255.0,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000251,0.02,0.2,0.2,0.4,0.0,0.8,0.0,342.0,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000254,0.73,1.2,1.2,0.75,0.2,2.0,0.0,250.0,AA0080BODTFB -> BA2140TFBCPJ,AA0080 -> BA2140,F0C0Y76 -> F0C0Y76
P000265,3.23,4.0,4.0,2.0,1.4,6.6,0.0,250.0,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000267,0.29,0.2,0.2,0.4,0.0,0.8,0.0,269.0,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
