Leg,Task,Origin,Destination,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Total_Passengers,Expected_Load(%),Load_Factor(%),Bottleneck_Freq(%),Expected_Shadow_Price,Shadow_Price,Attributed_Revenue,Revenue_Contribution,Revenue_Per_Pax,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA0493TBOTFB,AA0493,TBO,TFB,AA0493,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,25.0,25.0,12973.6,12973.6,170.71,36,14873.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0073KOVBOD,AA0073,KOV,BOD,super_AA0073,F0C0Y76,76,72.2,72.2,95.0,95.0,80.0,19.28,19.28,13348.4,13348.4,184.88,18,14813.68,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0636TFBQIY,AA0636,TFB,QIY,AA0636,F16C0Y165,165,124.6,124.6,75.52,75.52,0.0,0.0,0.0,14649.8,14649.8,117.57,55,14649.8,Keep,This leg does not currently exhibit a strong adjustment signal.
AA0096BODTFB,AA0096,BOD,TFB,AA0096,F0C0Y76,76,73.6,73.6,96.84,96.84,60.0,12.6,12.6,13574.13,13574.13,184.43,42,14531.73,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2400TFBCJM,BA2400,TFB,CJM,BA2400,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,27.0,27.0,12445.1,12445.1,163.75,86,14497.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0232TBOTKE,AA0232,TBO,TKE,super_AA0232,F16C0Y165,165,92.0,92.0,55.76,55.76,0.0,0.0,0.0,14437.7,14437.7,156.93,14,14437.7,Downgauge,"This leg has limited scarcity signal and relatively low load, suggesting smaller capacity may fit."
AA0026TFBPSE,AA0026,TFB,PSE,AA0026,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,27.0,27.0,12359.3,12359.3,162.62,31,14411.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0703MBYZWS,AA0703,MBY,ZWS,AA0703,F0C0Y76,76,76.0,76.0,100.0,100.0,100.0,24.12,24.12,12576.4,12576.4,165.48,10,14409.52,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0064BODKOV,AA0064,BOD,KOV,super_AA0064,F0C0Y76,76,73.2,73.2,96.32,96.32,60.0,10.0,10.0,13627.6,13627.6,186.17,18,14387.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0693HFHTFB,AA0693,HFH,TFB,AA0693,F16C0Y165,165,149.4,149.4,90.55,90.55,0.0,0.0,0.0,14375.67,14375.67,96.22,116,14375.67,Keep,This leg does not currently exhibit a strong adjustment signal.
