Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
AA0875TFBMJI,49.0,0.0,49.0,49.0
BA2473QEYTUT,3.44,6.88,0.0,13.76
BA2545TFBQEY,0.0,0.0,0.0,0.0
BA2208TFBZLN,0.24,0.48,0.0,0.96
BA2325QEYSEN,5.24,3.7702,1.52,9.92
BA2077TKDMBY,0.0,0.0,0.0,0.0
AA3299EVUBOD,16.4,32.8,0.0,65.6
AA0060KOVLUO,0.0,0.0,0.0,0.0
BA2410TFBHFH,8.0,6.4832,0.08,14.36
AA0094BODTFB,0.0,0.0,0.0,0.0
AA0650QEYQIY,0.0,0.0,0.0,0.0
AA0862PHHQEY,45.4,0.0,45.4,45.4
BA2409ZWSTFB,0.0,0.0,0.0,0.0
AA0850PHHPBL,14.08,17.2444,0.0,35.2
AA0011FXSTFB,17.04,13.9131,0.0,28.4
BA2378TFBHFH,0.0,0.0,0.0,0.0
AA0048BERBOD,0.0,0.0,0.0,0.0
BA2491CMJTFB,0.0,0.0,0.0,0.0
AA0053BODTDD,0.0,0.0,0.0,0.0
BA2170QEYTFB,3.88,3.5813,0.0,8.44
BA2138TFBHFH,4.4,5.3889,0.0,11.0
AA0877QEYIOM,7.04,14.08,0.0,28.16
AA0243HEMMBY,19.8,0.0,19.8,19.8
AA0854MJITFB,46.6,0.0,46.6,46.6
BA2610PBLQEY,0.0,0.0,0.0,0.0
BA2115ZZDTFB,8.88,10.8757,0.0,22.2
BA2193HFHTFB,11.52,5.76,2.88,14.4
BA2267ZWSTFB,0.0,0.0,0.0,0.0
BA2523QEYTGP,16.4,0.0,16.4,16.4
BA2114TFBZZD,15.48,4.1136,10.16,20.56
BA2220TFBQVX,0.0,0.0,0.0,0.0
BA2517QEYTGP,16.4,0.0,16.4,16.4
AA0587TOBQEY,4.56,5.8219,0.0,12.96
BA2214TFBQVX,0.0,0.0,0.0,0.0
BA2134TFBFBU,4.76,4.0603,0.0,9.12
BA2105QTDTFB,8.52,5.3957,0.88,13.52
BA2563QEYPBL,0.0,0.0,0.0,0.0
AA0623MBTQEY,10.44,8.5242,0.0,17.4
BA2411HFHTFB,2.72,5.44,0.0,10.88
BA2015TFBQEY,0.0,0.0,0.0,0.0
AA0052GBJBOD,0.0,0.0,0.0,0.0
AA0487TBOTFB,25.0,0.0,25.0,25.0
BA2265ZWSTFB,0.0,0.0,0.0,0.0
BA2445HFHTFB,16.76,1.592,14.8,18.88
BA2670TFBZMX,23.0,0.9798,22.2,24.2
BA2024TFBZWS,17.64,2.2141,15.6,20.92
AA0646CMJMBT,0.0,0.0,0.0,0.0
BA2055TFBQEY,0.0,0.0,0.0,0.0
BA2203ZLNTFB,6.2,3.3681,1.04,8.6
AA0342TFBPBL,0.0,0.0,0.0,0.0
BA2542TFBZFH,13.4,10.9953,0.0,23.76
AA0318TFBTGP,6.72,8.2303,0.0,16.8
BA2397NTPTFB,0.0,0.0,0.0,0.0
AA0055GBJTDD,0.0,0.0,0.0,0.0
BA2011TFBNGS,13.28,7.0252,5.0,21.28
BA2399CPJTFB,0.0,0.0,0.0,0.0
AA0079TFBKOV,37.16,2.2429,34.64,40.24
AA0132BODQEY,0.0,0.0,0.0,0.0
AA0871IOMBOD,46.6,0.0,46.6,46.6
AA0136BODQEY,0.0,0.0,0.0,0.0
AA0488TFBTBO,0.0,0.0,0.0,0.0
AA0226TFBTKD,3.44,6.88,0.0,13.76
AA0107TFBBOD,41.44,3.7146,36.08,44.6
BA2129TFBQEY,0.0,0.0,0.0,0.0
AA0820TNGTFB,22.72,0.96,21.52,23.8
AA3297EVUBOD,0.0,0.0,0.0,0.0
BA2109QTDTFB,0.0,0.0,0.0,0.0
AA0343PBLTFB,9.72,7.9363,0.0,16.2
BA2435ZWSQEY,3.88,7.76,0.0,15.52
AA0573TBOQEY,20.68,2.5475,18.6,23.8
BA2324TFBHUG,3.84,7.68,0.0,15.36
AA0561MBYQEY,16.8,0.0,16.8,16.8
AA0821TNGPHH,38.2,0.0,38.2,38.2
BA2172QEYTFB,10.76,1.727,8.88,12.8
AA0300TFBTGP,0.0,0.0,0.0,0.0
AA0001EDBTFB,42.6,3.5054,37.48,45.8
AA0016TFBNJB,6.6,13.2,0.0,26.4
BA2204TFBZWS,2.6,3.2348,0.0,7.04
AA0003EDBTFB,4.96,9.92,0.0,19.84
AA3482TFBTCB,9.56,11.7224,0.0,24.44
AA0087TFBBOD,44.2,0.506,43.8,44.92
BA2404TKDCPJ,0.0,0.0,0.0,0.0
BA2543ZFHTFB,0.0,0.0,0.0,0.0
AA0124GBJTFB,0.0,0.0,0.0,0.0
AA0305TGPTFB,12.68,6.4132,2.8,16.6
BA2493CMJTFB,10.04,2.3712,6.68,12.6
BA2108TFBQTD,1.84,0.2939,1.6,2.2
AA0067KOVBOD,6.0,12.0,0.0,24.0
BA2093QEYNGS,0.0,0.0,0.0,0.0
BA2487CMJTFB,0.0,0.0,0.0,0.0
BA2233ZWSTFB,0.0,0.0,0.0,0.0
AA0317TGPTFB,2.72,3.4167,0.0,7.52
AA0018TFBNDP,27.36,13.9027,5.88,35.8
AA0030QEYCPT,30.68,1.84,27.92,31.6
AA0708ZWSMBY,10.0,5.0959,2.28,13.6
BA2294SENTFB,11.72,3.1179,7.68,15.28
AA0574QEYTBO,0.0,0.0,0.0,0.0
BA2541QEYTNG,12.8,0.0,12.8,12.8
AA3463POUQEY,22.72,1.0088,21.16,23.4
AA0061KOVZBL,0.0,0.0,0.0,0.0
BA2533QEYGBU,0.0,0.0,0.0,0.0
BA2489CMJTFB,2.64,2.08,1.6,5.76
BA2328NGSQEY,4.36,3.5245,2.4,9.68
AA0471MBYTFB,17.6,0.0,17.6,17.6
AA0081TFBBOD,44.6,0.0,44.6,44.6
AA0533POUTFB,19.84,2.4993,17.8,22.96
