Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P024802,16.2,16.84,16.2,0.0,131.0,2122.2,AA0302TFBTGP -> BA2231CPJTFB,super_AA0302 -> BA2231,F16C0Y165 -> F0C0Y76,AA0302TFBTGP,6.72
P017038,6.8,6.58,6.8,0.0,312.0,2121.6,AA0061TFBKOV,super_AA0061,F12C12Y48,AA0061TFBKOV,39.36
P041460,20.4,22.15,20.4,0.0,104.0,2121.6,BA2370TKDQEY,BA2370,F0C0Y76,BA2370TKDQEY,0.0
P018227,6.4,8.33,6.4,0.0,331.0,2118.4,AA0504TFBTOB,AA0504,F16C0Y165,AA0504TFBTOB,10.68
P041462,17.8,16.46,17.8,0.0,119.0,2118.2,BA2370TKDQEY,BA2370,F0C0Y76,BA2370TKDQEY,0.0
P036470,9.2,11.36,9.2,0.0,230.0,2116.0,BA2523QEYTGP,BA2523,F0C0Y76,BA2523QEYTGP,16.4
P017283,9.0,7.71,9.0,0.0,235.0,2115.0,AA0456TFBMBY,AA0456,F16C0Y165,AA0456TFBMBY,17.8
P022145,6.2,5.77,6.2,0.0,341.0,2114.2,AA0870BODIOM,AA0870,F16C0Y165,AA0870BODIOM,32.48
P005360,12.8,12.92,12.8,0.0,165.0,2112.0,AA0661EGXTFB,AA0661,F16C0Y165,AA0661EGXTFB,21.92
P018057,12.4,13.52,12.4,0.0,170.0,2108.0,AA0226TFBTKD,super_AA0226,F16C0Y165,AA0226TFBTKD,3.44
P017569,7.8,8.94,7.8,0.0,270.0,2106.0,AA0020TFBPSE,AA0020,F16C0Y165,AA0020TFBPSE,33.32
P024694,12.6,14.29,12.6,0.0,167.0,2104.2,BA2269CPJTFB,BA2269,F16C0Y165,BA2269CPJTFB,2.92
P016501,18.6,17.23,18.6,0.0,113.0,2101.8,AA0524TFBCVS,AA0524,F16C0Y165,AA0524TFBCVS,0.0
P017953,20.2,18.48,20.2,0.0,104.0,2100.8,AA0302TFBTGP,super_AA0302,F16C0Y165,AA0302TFBTGP,6.72
P000342,8.4,10.52,8.4,0.0,250.0,2100.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165,AA0120BODTFB,29.32
P008105,7.0,5.82,7.0,0.0,300.0,2100.0,AA0137QEYBOD -> AA0625MBTQEY,AA0137 -> AA0625,F16C0Y165 -> F16C0Y165,AA0137QEYBOD,29.84
P013366,16.8,15.39,16.8,0.0,125.0,2100.0,AA0580QEYTOB,AA0580,F16C0Y165,AA0580QEYTOB,10.32
P017854,16.8,19.67,16.8,0.0,125.0,2100.0,AA0480TFBTBO,AA0480,F16C0Y165,AA0480TFBTBO,0.0
P011936,9.4,10.58,9.4,0.0,223.0,2096.2,AA0103TFBBOD -> AA0531POUTFB,AA0103 -> AA0531,F16C0Y165 -> F16C0Y165,AA0531POUTFB,17.8
P000860,11.2,10.95,11.2,0.0,187.0,2094.4,AA0183BODGBJ,AA0183,F0C0Y76,AA0183BODGBJ,16.64
P008683,13.6,10.88,13.6,0.0,154.0,2094.4,AA0607MBTTFB,AA0607,F0C0Y76,AA0607MBTTFB,24.56
P014723,13.0,12.43,13.0,0.0,161.0,2093.0,AA0317QTQTGP,super_AA0317,F16C0Y165,AA0317QTQTGP,17.8
P037970,23.0,20.84,23.0,0.0,91.0,2093.0,BA2215QVXTFB,super_BA2215,F16C0Y165,BA2215QVXTFB,2.36
P000098,11.0,9.83,11.0,0.0,190.0,2090.0,AA0049BODBER,AA0049,F12C12Y48,AA0049BODBER,2.68
P008673,10.0,8.65,10.0,0.0,209.0,2090.0,AA0605MBTTFB,AA0605,F16C0Y165,AA0605MBTTFB,22.0
P006538,10.6,11.49,10.6,0.0,197.0,2088.2,AA0249HEMMBY,AA0249,F16C0Y165,AA0249HEMMBY,22.44
P007094,9.0,9.66,9.0,0.0,232.0,2088.0,AA0065KOVBOD,super_AA0065,F0C0Y76,AA0065KOVBOD,4.32
P007007,14.2,13.55,14.2,0.0,147.0,2087.4,AA0693HFHTFB,AA0693,F16C0Y165,AA0693HFHTFB,0.0
P018072,8.8,8.62,8.8,0.0,237.0,2085.6,AA0320TFBTKD,AA0320,F16C0Y165,AA0320TFBTKD,12.72
P019049,26.8,22.95,17.8,9.0,117.0,2082.6,AA0220TGPQWS,super_AA0220,F0C0Y76,AA0220TGPQWS,23.4
P045772,20.0,17.27,20.0,0.0,104.0,2080.0,BA2635QEYTGP,super_BA2635,F0C0Y76,BA2635QEYTGP,16.4
P046802,32.2,32.11,32.0,0.2,65.0,2080.0,BA2618TNGQEY,BA2618,F0C0Y76,BA2618TNGQEY,4.72
P005653,11.4,11.36,11.4,0.0,182.0,2074.8,AA0062GBJBOD,super_AA0062,F0C0Y76,AA0062GBJBOD,17.0
P035458,15.6,14.0,15.6,0.0,133.0,2074.8,BA2329QEYNGS,BA2329,F0C0Y76,BA2329QEYNGS,8.76
